,Name,Address,Number,Review,Bookmark,Price_range,category,Subcategory
0,Yadllie Plate,"11/F, CTMA Centre, 1 Sai Yeung Choi Street, Mong Kok",23600233,(1051 Reviews),58890,$101-200,Korean,Korean Fried Chicken
1,Shine,"6/F, Prince Tower, 12A Peking Road, Tsim Sha Tsui",53288480,(1289 Reviews),37931,$201-400,Western,Wine
2,Mamaday,"1/F, Perfect Commercial Building, 28 Sharp Street West, Causeway Bay",21640066,(697 Reviews),40004,$101-200,International,All Day Breakfast
3,The Cheesecake Factory 芝樂坊餐廳,"Shop G102, G/F, Gateway Arcade, Harbour City, 25 Canton Road, Tsim Sha Tsui",27916628,(1055 Reviews),53746,$101-200,American,Hamburger
4,Mini Friday,"9/F, Ginza Plaza, 2 Sai Yeung Choi Street South, Mong Kok",37059125,(755 Reviews),35845,$101-200,Western,Cake
5,LAB EAT Restaurant & Bar,"Shop 1-2, G/F, Kiu Fung Mansion, 83-89 Kimberlay Road, Tsim Sha Tsui",28331976,(840 Reviews),74362,$201-400,Western,Seafood
6,Towada Sushi 十和田總本店,"G/F, Chinachem Cameron Centre, 42 Cameron Road, Tsim Sha Tsui",26688791,(748 Reviews),23846,$201-400,Japanese,Sushi/Sashimi
7,Love Cafe 心之食堂,"Room 1203, 12/F, Bartlock Centre, 3 Yiu Wa Street, Causeway Bay",23211880,(966 Reviews),19117,$201-400,Japanese,Sushi/Sashimi
8,Dodam Chicken,"18/F., Shop A, Lee Theatre Plaza, 99 Percival Street, Causeway Bay",23338365,(890 Reviews),28122,$101-200,Korean,Korean Fried Chicken
9,Bingo & Cook,"2/F, L'Hart, 487-489 Lockhart Road, Causeway Bay",24558766,(1007 Reviews),27576,$101-200,Korean,Korean Fried Chicken
10,HeSheEat,"Shop 4, G/F, Ngai Hing Mansion, 22 Pak Po Street, Mong Kok",55713056,(1271 Reviews),38364,$51-100,Western,Dessert
11,Hogology 炊豕店,"G/F, 11 Caroline Hill Road, Causeway Bay",28056665,(743 Reviews),33905,Below $50,Hong Kong Style,Snack Shop & Deli
12,Little Vegas,"25/F, Bartlock Centre, 3 Yiu Wa Street, Causeway Bay",26222369,(989 Reviews),39791,$101-200,Western,Pizza
13,七福神和食亭,"1/F, 311-313 Nathan Road, Jordan",23882302,(1067 Reviews),27843,$101-200,Japanese,Sushi/Sashimi
14,Burgeroom,"Shop 207, L2, Mira Place One, 132 Nathan Road, Tsim Sha Tsui",37020361,(893 Reviews),29266,$51-100,American,Hamburger
15,Aidan Korean Dessert Cafe 小火焰韓式咖啡餐廳,"Shop 1, 1/F, Kwun Tong View, 410 Kwun Tong Rd, Kwun Tong",35496060,(894 Reviews),25763,$101-200,Korean,Dessert
16,Shika Teppan-Yaki 鉄人旨花,"2/F, Shining building, 477-481 Jaffe Road, Causeway Bay",28928819,(1084 Reviews),18768,Above $801,Japanese,Teppanyaki
17,Sky726,"25/F, 724-726 Nathan Road, Mong Kok",23903889,(817 Reviews),65365,$201-400,French,Dessert
18,The Captain's House,"18/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",23665600,(940 Reviews),46364,$201-400,Western,Seafood
19,Burgeroom,"Shop D, G/F, Food Street, 50-56 Paterson Street, Fashion Walk, Causeway Bay",28909130,(1294 Reviews),47586,$51-100,American,Hamburger
20,CHEF STAGE de Eddy Chu,"19/F, 17-19 Ashley Road, Tsim Sha Tsui",23030999,(916 Reviews),48263,$201-400,Western,Wine
21,OPPA Coffee Bar Restaurant,"G/F, 1F Kimberley Street, Tsim Sha Tsui",23862315,(867 Reviews),21844,$101-200,Korean,"









"
22,Tearapy 茶聊,"1/F, 189 Portland Street, Mong Kok",29891707,(633 Reviews),28059,$101-200,International,Hamburger
23,Toretore Hamayaki 漁獲浜燒,"18/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",25755677,(799 Reviews),28766,$201-400,Japanese,"

19:15
+30

"
24,Waki Shokudo 和氣食堂,"Shop G12A, G/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",26418829,(767 Reviews),8607,$101-200,Japanese,Sushi/Sashimi
25,Seoulmate Cafe,"4/F, Kyoto Plaza, 491-499 Lockhart Road, Causeway Bay",21046788,(921 Reviews),38635,$101-200,Korean,Dessert
26,Sodam Chicken,"7/F, 3 Yiu Wa Street, Bartlock Centre, Causeway Bay",27280200,(1114 Reviews),46292,$101-200,Korean,Korean Fried Chicken
27,Check-In Taipei,"G/F, 27 Hollywood Road, Soho, Central",23512622,(695 Reviews),31306,$101-200,Taiwan,Taiwanese Drink
28,Channel 3 Tapas Bar & Restaurant,"G/F, 228 Tung Choi Street, Prince Edward",23909286,(753 Reviews),8534,$101-200,Spanish,Bar
